link_ppt	link_mbps	status	normalized_score_per_sender	normalized_score_raw	error
28.1176869797	281.1769	ok	-5.539039	-11.078079	
30.1711481053	301.7115	ok	-5.717989	-11.435978	
32.3745754282	323.7458	ok	-5.827535	-11.655071	
34.7389211208	347.3892	ok	-5.920589	-11.841178	
37.2759372031	372.7594	ok	-6.089323	-12.178646	
39.9982339561	399.9823	ok	-6.097329	-12.194657	
42.9193426013	429.1934	ok	-6.273366	-12.546732	
46.0537825582	460.5378	ok	-6.385049	-12.770098	
49.4171336132	494.1713	ok	-6.418385	-12.836770	
53.0261133591	530.2611	ok	-6.513204	-13.026408	
56.8986602902	568.9866	ok	-6.668522	-13.337044	
61.0540229659	610.5402	ok	-6.759048	-13.518097	
65.5128556860	655.1286	ok	-6.795319	-13.590639	
70.2973211533	702.9732	ok	-6.961126	-13.922252	
75.4312006335	754.3120	ok	-7.054248	-14.108496	
80.9400121608	809.4001	ok	-7.172217	-14.344434	
86.8511373751	868.5114	ok	-7.239729	-14.479458	
93.1939576234	931.9396	ok	-7.384788	-14.769576	
100.0000000000	1000.0000	ok	-7.447502	-14.895003	
